    table_name     |       column_name       |          data_type          | is_nullable | is_primary_key | foreign_table_name | foreign_column_name | is_unique
-------------------+-------------------------+-----------------------------+-------------+----------------+--------------------+---------------------+-----------
 admins            | admin_id                | integer                     | NO          | YES            |                    |                     | NO
 admins            | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 admins            | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 admins            | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 admins            | department              | character varying           | YES         | NO             |                    |                     | NO
 admins            | access_level            | integer                     | YES         | NO             |                    |                     | NO
 agents            | agent_id                | integer                     | NO          | YES            |                    |                     | NO
 agents            | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 agents            | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 agents            | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 agents            | badge_number            | character varying           | YES         | NO             |                    |                     | YES
 agents            | id_gare                 | integer                     | YES         | NO             | gares              | id_gare             | NO
 agents            | id_gare                 | integer                     | YES         | NO             | gares              | id_gare             | NO
 clients           | client_id               | integer                     | NO          | YES            |                    |                     | NO
 clients           | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 clients           | user_id                 | integer                     | NO          | NO             | users              | user_id             | YES
 clients           | company_name            | character varying           | YES         | NO             |                    |                     | NO
 clients           | phone_number            | character varying           | YES         | NO             |                    |                     | NO
 clients           | account_code            | character varying           | YES         | NO             |                    |                     | YES
 clients           | adresse                 | text                        | YES         | NO             |                    |                     | NO
 clients           | created_at              | timestamp without time zone | YES         | NO             |                    |                     | NO
 contracts         | contract_id             | integer                     | NO          | YES            |                    |                     | NO
 contracts         | transaction_type        | character varying           | YES         | NO             |                    |                     | NO
 contracts         | payment_mode            | character varying           | YES         | NO             |                    |                     | NO
 contracts         | gare_expÚditrice        | integer                     | YES         | NO             | gares              | id_gare             | NO
 contracts         | gare_expÚditrice        | integer                     | YES         | NO             | gares              | id_gare             | NO
 contracts         | gare_destinataire       | integer                     | YES         | NO             | gares              | id_gare             | NO
 contracts         | gare_destinataire       | integer                     | YES         | NO             | gares              | id_gare             | NO
 contracts         | source_branch           | character varying           | YES         | NO             |                    |                     | NO
 contracts         | destination_branch      | character varying           | YES         | NO             |                    |                     | NO
 contracts         | merchandise_description | text                        | YES         | NO             |                    |                     | NO
 contracts         | sender_client           | integer                     | YES         | NO             | clients            | client_id           | NO
 contracts         | sender_client           | integer                     | YES         | NO             | clients            | client_id           | NO
 contracts         | sender_client           | integer                     | YES         | NO             | clients            | client_id           | NO
 contracts         | shipment_weight         | numeric                     | YES         | NO             |                    |                     | NO
 contracts         | shipment_date           | date                        | YES         | NO             |                    |                     | NO
 contracts         | wagon_count             | integer                     | YES         | NO             |                    |                     | NO
 contracts         | tarp_count              | integer                     | YES         | NO             |                    |                     | NO
 contracts         | total_units             | integer                     | YES         | NO             |                    |                     | NO
 contracts         | accessories             | text                        | YES         | NO             |                    |                     | NO
